sample_size,n_trials,pop_id,estimation_method,point_estimate,ci_method,ci_alpha,coverage_probability,true_beta,ev_beta,median_beta,bias,percent_bias,empirical_variance_beta,empirical_sd_beta,mse,mcse
25,1000,1677688340_3.75,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.395,3.75,26.28507856691349,24.884112615048622,563.8323847982562,600.9354284510264,56.00261878129235,7.483489746187426,563.7763821794748,0.23664872444467633
25,1000,1233248129_3.799,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.409,3.799,26.06836029690134,25.306964667874393,544.5429070994304,586.1900578284111,48.618499066224665,6.972696685373935,544.4942886003641,0.22049602959288103
25,1000,1959011220_3.834,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.441,3.834,26.265994716809434,25.293906973550957,557.9431070331433,585.080717704993,54.74872005817692,7.39923780251567,557.8883583130851,0.23398444405168675
25,1000,336997539_3.951,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.453,3.951,26.032039971118465,25.233008535063924,536.8749549237115,558.8721835261571,49.3026287175801,7.021583063496443,536.8256522949938,0.22204195260711454
25,1000,469923319_3.982,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.463,3.982,26.022843380760467,25.200674879507154,534.8227129359263,553.5118880150794,49.02393600071385,7.001709505593177,534.7736889999258,0.22141349552525894
25,1000,1840780356_4.051,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.502,4.051,26.460748745401393,25.81645661372192,551.7716670280872,553.1905392594765,49.57482819606787,7.040939439880723,551.722092199891,0.2226540549733327
25,1000,2090300807_4.145,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.557,4.145,26.44109212851694,25.508466047169534,556.2713127560493,537.9033082875015,59.15558855273418,7.6912670316882235,556.2121571674965,0.2432192191269723
25,1000,1208125066_4.17,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.563,4.17,26.26125986407275,25.257670643155052,540.0496270857069,529.7664235988668,52.02586470371543,7.212895722503926,539.9976012210033,0.22809179008398225
25,1000,679822524_4.231,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.578,4.231,26.26406560372804,25.56910900576419,535.2710486702265,520.7531459165218,49.815068772042785,7.057979085548695,535.2212336014543,0.22319289588166286
25,1000,343040439_4.255,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.621,4.255,26.01519499717092,25.257030125323,520.6570305576569,511.40293765384064,47.15094424275452,6.866654516047427,520.6098796134141,0.21714268176191093
25,1000,905789905_4.295,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.618,4.295,26.12454214426648,25.228616448406832,533.7460190062193,508.2547647093476,57.21710877791273,7.564199149805135,533.6888018974412,0.23920097988493427
25,1000,813235442_4.323,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.604,4.323,26.127916558892014,25.224703591863868,529.574658763011,504.3931658314136,54.1202726227679,7.356648192129884,529.5205384903883,0.2326376423169043
25,1000,744326620_4.352,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.643,4.352,26.42627899873409,25.761168893853018,536.5023497982407,507.221484345912,49.22855648428784,7.016306470236875,536.4531212417564,0.2218750920772493
25,1000,512478579_4.373,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.652,4.373,26.29941587377368,25.339224698656054,537.0687921708017,501.40443342725075,56.30107910112736,7.503404500700156,537.0124910917006,0.23727848427770976
25,1000,624190610_4.599,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.69,4.599,26.68937567226489,26.077555881868392,540.2758708168553,480.32997765307437,52.291173475062855,7.231263615376144,540.2235796433803,0.22867263385692407
25,1000,1842489076_4.621,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.754,4.621,26.231657927863814,25.504933877767783,519.4531364483539,467.661933085129,52.43260037321085,7.241035863273352,519.4007038479806,0.22898165946907376
25,1000,1497819352_4.692,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.692,4.692,26.473645187535297,25.438505391995804,526.9911566663613,464.2294370744948,52.551089590681805,7.24921303250786,526.9386055767706,0.22924024426501077
25,1000,348718115_4.712,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.736,4.712,26.163196749272952,25.372300535911574,512.0448481890562,455.24611097777915,51.89100621303768,7.203541227274102,511.9929571828431,0.22779597497110804
25,1000,2081031682_4.743,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.748,4.743,26.53159254392122,25.484286536497393,531.7577014845593,459.3841986911495,57.01493643953998,7.550823560350221,531.7006865481198,0.23877800660768567
25,1000,1904431972_4.773,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.784,4.773,26.034674525444867,25.171685378379046,503.0819597712143,445.4572496426748,51.023156145263115,7.143049499006928,503.030936615069,0.2258830585618654
25,1000,1840263705_4.804,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.766,4.804,26.340511914793918,25.33383981316294,514.2998973353333,448.3037451039533,50.478551879272864,7.104825957000838,514.249418783454,0.22467432403208176
25,1000,1631990279_4.85,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.787,4.85,26.403568387417472,25.469567501441638,523.0743485409855,444.4034719055149,58.51803830990377,7.649708380709932,523.0158305026757,0.24190501919121848
25,1000,1103135698_4.901,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.804,4.901,25.953587388798784,25.162426646718234,493.28839435585934,429.5569758987714,50.07695859284972,7.076507513798719,493.2383173972665,0.22377881622899368
25,1000,1809214851_4.931,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.801,4.931,25.639744495843477,24.44266331976528,479.7022248735477,419.97048257642416,50.85012627942025,7.1309274487558945,479.6513747472683,0.2254997256748226
25,1000,1754225243_4.947,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.784,4.947,26.364018725092926,25.6671851648921,510.2936761793224,432.92942642193094,51.60498510834132,7.183660982280645,510.242071194214,0.2271673064248932
25,1000,523582794_4.952,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.797,4.952,26.438797027972427,25.273451999965197,512.5735824211827,433.9013939412848,50.89113589989784,7.133802345166134,512.5226912852828,0.2255906378817566
25,1000,1910492159_4.999,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.826,4.9990000000000006,26.43736918221546,25.663336012373204,507.8682037255188,428.8531542751642,48.26453053255324,6.94726784661087,507.81993919498615,0.21969189910543638
25,1000,1928703996_5.065,"Bayesian logit model, beta ~ t(1, 0, 2.5)",MAP,highest density posterior interval,0.95,0.841,5.0649999999999995,26.961367936692376,25.834939388927037,538.7312579235534,432.307363014657,59.280329104543284,7.699371994165712,538.6719775944488,0.24347552054476296
